offset,offset_hex,length,text,population_term,candidate_kind,patchability,safe_patch_type,confidence,reason,length_change_patchability,candidate_id,file_offset,decoded_offset,decoded_offset_hex,section,owner_type,owner_name,owner_function_index,owner_function_offset_range,owner_function_name,owner_function_purpose_tags,nearby_strings,nearby_native_calls,nearby_branches,candidate_value,candidate_value_type,operand_width,patchability_level,confidence_score,safety_reason,blocked_reason,unrelated_code_risk
1660,0x67C,26, failing on use of gringo ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000011,,1660,0x67C,string,string_table, failing on use of gringo ,4,0x20B..0x976,Function_4,['actor'],"['ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x608', '0x60F', '0x616', '0x61D', '0x62D', '0x630', '0x63C', '0x646', '0x66E', '0x674', '0x677', '0x697']","['0x624', '0x627', '0x634', '0x64D', '0x653', '0x656', '0x6D4', '0x6DB', '0x6E3', '0x6E6', '0x6E9', '0x6EC']", failing on use of gringo ,string,26,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1701,0x6A5,9, of type ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000012,,1701,0x6A5,string,string_table, of type ,4,0x20B..0x976,Function_4,['actor'],"['ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', ')Of<', 'vOf<']","['0x62D', '0x630', '0x63C', '0x646', '0x66E', '0x674', '0x677', '0x697', '0x69D', '0x6A0', '0x6AF', '0x6B5']","['0x627', '0x634', '0x64D', '0x653', '0x656', '0x6D4', '0x6DB', '0x6E3', '0x6E6', '0x6E9', '0x6EC', '0x704']", of type ,string,9,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1941,0x795,42,do(ActorRoam got an invalid object named: ,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000013,,1941,0x795,string,string_table,do(ActorRoam got an invalid object named: ,4,0x20B..0x976,Function_4,['actor'],"['do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', ')Of<', 'vOf<']","['0x716', '0x745', '0x759', '0x75E', '0x772', '0x784', '0x789', '0x7C0', '0x7C6', '0x7C9', '0x7CC', '0x7F4']","['0x71A', '0x721', '0x724', '0x73D', '0x749', '0x750', '0x753', '0x76B', '0x77B', '0x790', '0x793', '0x7F7']",do(ActorRoam got an invalid object named: ,string,42,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
1999,0x7CF,36,o#Invalid Object in ActorRoam update,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000014,,1999,0x7CF,string,string_table,o#Invalid Object in ActorRoam update,4,0x20B..0x976,Function_4,['actor'],"['do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', ')Of<', 'vOf<']","['0x759', '0x75E', '0x772', '0x784', '0x789', '0x7C0', '0x7C6', '0x7C9', '0x7CC', '0x7F4', '0x802', '0x80C']","['0x750', '0x753', '0x76B', '0x77B', '0x790', '0x793', '0x7F7', '0x7FA', '0x812', '0x82B', '0x82E', '0x84C']",o#Invalid Object in ActorRoam update,string,36,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2378,0x94A,4,)Of<,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000015,,2378,0x94A,string,string_table,)Of<,4,0x20B..0x976,Function_4,['actor'],"[')Of<', 'vOf<', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update']","['0x8CC', '0x8D2', '0x8DD', '0x8E7', '0x8F6', '0x8FF', '0x914', '0x917', '0x920', '0x927', '0x933', '0x942']","['0x8E1', '0x8F0', '0x8F9', '0x90D', '0x92D', '0x93C', '0x948', '0x952', '0x959', '0x96A', '0x982', '0x98D']",)Of<,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2395,0x95B,4,vOf<,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000016,,2395,0x95B,string,string_table,vOf<,4,0x20B..0x976,Function_4,['actor'],"[')Of<', 'vOf<', 'roamRemoveSet', 'ActorRoam - ', 'o5 will ignore ambient restrictions while using gringo', '2(B ', '0o(Invalid Object type passed to ActorRoam', 'ACTORROAM - Actor ', ' failing on use of gringo ', ' of type ', 'do(ActorRoam got an invalid object named: ', 'o#Invalid Object in ActorRoam update']","['0x8DD', '0x8E7', '0x8F6', '0x8FF', '0x914', '0x917', '0x920', '0x927', '0x933', '0x942', '0x945', '0x94F']","['0x8E1', '0x8F0', '0x8F9', '0x90D', '0x92D', '0x93C', '0x948', '0x952', '0x959', '0x96A', '0x982', '0x98D']",vOf<,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2527,0x9DF,9,(Unnamed),,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000017,,2527,0x9DF,string,string_table,(Unnamed),6,0x9C5..0xA07,Function_6,[],"['(Unnamed)', '""Of<', 'actorRoam_ref', ':+~-']","['0x960', '0x967', '0x971', '0x97E', '0x989', '0x994', '0x99D', '0x9A9', '0x9AF', '0x9B5', '0x9BE', '0x9CD']","['0x96A', '0x982', '0x98D', '0x9A0', '0x9B8', '0x9C1', '0x9DA', '0x9F0']",(Unnamed),string,9,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2552,0x9F8,4,"""Of<",,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000018,,2552,0x9F8,string,string_table,"""Of<",6,0x9C5..0xA07,Function_6,[],"['(Unnamed)', '""Of<', 'actorRoam_ref', ':+~-']","['0x97E', '0x989', '0x994', '0x99D', '0x9A9', '0x9AF', '0x9B5', '0x9BE', '0x9CD', '0x9D6', '0x9F6', '0x9FD']","['0x982', '0x98D', '0x9A0', '0x9B8', '0x9C1', '0x9DA', '0x9F0', '0xA63', '0xA6A', '0xA75']","""Of<",string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2586,0xA1A,13,actorRoam_ref,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000019,,2586,0xA1A,string,string_table,actorRoam_ref,7,0xA07..0xA2D,Function_7,['actor'],"['(Unnamed)', '""Of<', 'actorRoam_ref', ':+~-']","['0x99D', '0x9A9', '0x9AF', '0x9B5', '0x9BE', '0x9CD', '0x9D6', '0x9F6', '0x9FD', '0xA03', '0xA0F', '0xA15']","['0x9A0', '0x9B8', '0x9C1', '0x9DA', '0x9F0', '0xA63', '0xA6A', '0xA75']",actorRoam_ref,string,13,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2602,0xA2A,4,:+~-,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000020,,2602,0xA2A,string,string_table,:+~-,7,0xA07..0xA2D,Function_7,['actor'],"['(Unnamed)', '""Of<', 'actorRoam_ref', ':+~-']","['0x9AF', '0x9B5', '0x9BE', '0x9CD', '0x9D6', '0x9F6', '0x9FD', '0xA03', '0xA0F', '0xA15', '0xA28', '0xA3F']","['0x9B8', '0x9C1', '0x9DA', '0x9F0', '0xA63', '0xA6A', '0xA75', '0xAA3']",:+~-,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2780,0xADC,4,0)C*,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000021,,2780,0xADC,string,string_table,0)C*,11,0xA96..0xB27,Function_11,[],"['0)C*', '0)C>', 'actorRoam_behavior']","['0xABC', '0xABF', '0xAC4', '0xAC7', '0xAEA', '0xAEF', '0xAF7', '0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53']","['0xA63', '0xA6A', '0xA75', '0xAA3', '0xAB8', '0xAD1', '0xAE6', '0xAFC', '0xB11']",0)C*,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2823,0xB07,4,0)C>,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000022,,2823,0xB07,string,string_table,0)C>,11,0xA96..0xB27,Function_11,[],"['0)C*', '0)C>', 'actorRoam_behavior', 'actorRoam_gringoFail']","['0xABC', '0xABF', '0xAC4', '0xAC7', '0xAEA', '0xAEF', '0xAF7', '0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53']","['0xAA3', '0xAB8', '0xAD1', '0xAE6', '0xAFC', '0xB11']",0)C>,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2844,0xB1C,4,0)C>,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000023,,2844,0xB1C,string,string_table,0)C>,11,0xA96..0xB27,Function_11,[],"['0)C*', '0)C>', 'actorRoam_behavior', 'actorRoam_gringoFail']","['0xABC', '0xABF', '0xAC4', '0xAC7', '0xAEA', '0xAEF', '0xAF7', '0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53']","['0xAA3', '0xAB8', '0xAD1', '0xAE6', '0xAFC', '0xB11', '0xB98']",0)C>,string,4,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2904,0xB58,18,actorRoam_behavior,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000024,,2904,0xB58,string,string_table,actorRoam_behavior,13,0xB4B..0xB72,Function_13,['actor'],"['0)C*', '0)C>', 'actorRoam_behavior', 'actorRoam_gringoFail']","['0xAEA', '0xAEF', '0xAF7', '0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53', '0xB6D', '0xB7A', '0xB94', '0xB9E']","['0xAE6', '0xAFC', '0xB11', '0xB98', '0xBBD']",actorRoam_behavior,string,18,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2943,0xB7F,20,actorRoam_gringoFail,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000025,,2943,0xB7F,string,string_table,actorRoam_gringoFail,14,0xB72..0xC15,Function_14,['actor'],"['0)C>', 'actorRoam_behavior', 'actorRoam_gringoFail']","['0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53', '0xB6D', '0xB7A', '0xB94', '0xB9E', '0xBB9', '0xBC3', '0xBDD']","['0xB11', '0xB98', '0xBBD', '0xBE6', '0xBEB']",actorRoam_gringoFail,string,20,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
2979,0xBA3,20,actorRoam_gringoFail,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000026,,2979,0xBA3,string,string_table,actorRoam_gringoFail,14,0xB72..0xC15,Function_14,['actor'],"['actorRoam_behavior', 'actorRoam_gringoFail']","['0xB2E', '0xB33', '0xB3A', '0xB3F', '0xB53', '0xB6D', '0xB7A', '0xB94', '0xB9E', '0xBB9', '0xBC3', '0xBDD']","['0xB98', '0xBBD', '0xBE6', '0xBEB', '0xC20']",actorRoam_gringoFail,string,20,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
3016,0xBC8,20,actorRoam_gringoFail,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000027,,3016,0xBC8,string,string_table,actorRoam_gringoFail,14,0xB72..0xC15,Function_14,['actor'],"['actorRoam_behavior', 'actorRoam_gringoFail']","['0xB53', '0xB6D', '0xB7A', '0xB94', '0xB9E', '0xBB9', '0xBC3', '0xBDD', '0xBF1', '0xC0F', '0xC1D', '0xC28']","['0xB98', '0xBBD', '0xBE6', '0xBEB', '0xC20', '0xC39', '0xC48']",actorRoam_gringoFail,string,20,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
3062,0xBF6,20,actorRoam_gringoFail,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000028,,3062,0xBF6,string,string_table,actorRoam_gringoFail,14,0xB72..0xC15,Function_14,['actor'],"['actorRoam_gringoFail', '%o GO_NEAR_VOLUME - Invalid Volume']","['0xB7A', '0xB94', '0xB9E', '0xBB9', '0xBC3', '0xBDD', '0xBF1', '0xC0F', '0xC1D', '0xC28', '0xC36', '0xC45']","['0xB98', '0xBBD', '0xBE6', '0xBEB', '0xC20', '0xC39', '0xC48', '0xC5F']",actorRoam_gringoFail,string,20,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
3169,0xC61,34,%o GO_NEAR_VOLUME - Invalid Volume,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000029,,3169,0xC61,string,string_table,%o GO_NEAR_VOLUME - Invalid Volume,15,0xC15..0xC8A,Function_15,[],"['actorRoam_gringoFail', '%o GO_NEAR_VOLUME - Invalid Volume', 'actorRoam_target']","['0xBF1', '0xC0F', '0xC1D', '0xC28', '0xC36', '0xC45', '0xC54', '0xC5C', '0xC84', '0xC92', '0xCAB']","['0xBE6', '0xBEB', '0xC20', '0xC39', '0xC48', '0xC5F', '0xCBF', '0xCDC', '0xCDF']",%o GO_NEAR_VOLUME - Invalid Volume,string,34,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
3223,0xC97,16,actorRoam_target,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000030,,3223,0xC97,string,string_table,actorRoam_target,16,0xC8A..0xCB0,Function_16,['actor'],"['%o GO_NEAR_VOLUME - Invalid Volume', 'actorRoam_target']","['0xC1D', '0xC28', '0xC36', '0xC45', '0xC54', '0xC5C', '0xC84', '0xC92', '0xCAB', '0xCFA']","['0xC20', '0xC39', '0xC48', '0xC5F', '0xCBF', '0xCDC', '0xCDF', '0xCED', '0xD17']",actorRoam_target,string,16,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
3683,0xE63,16,actorroam_lockon,,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000031,,3683,0xE63,string,string_table,actorroam_lockon,22,0xE56..0xE7B,Function_22,['actor'],['actorroam_lockon'],"['0xE5E', '0xE76', '0xE83', '0xE91', '0xE9D', '0xEAB', '0xEB1', '0xED7']","['0xDE6', '0xE34', '0xE39', '0xE8B', '0xE94', '0xEA0', '0xEB9', '0xEC3', '0xECD', '0xED1', '0xEDE']",actorroam_lockon,string,16,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
4264,0x10A8,91,"`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!",,string,SAME_SIZE_SAFE,same_length_string_replace,0.95,decoded printable bytes can be replaced only with equal encoded length,REBUILD_REQUIRED,STR_000032,,4264,0x10A8,string,string_table,"`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!",26,0x109A..0x118F,Function_26,['actor'],"['`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!']","['0x104C', '0x1053', '0x105B', '0x106C', '0x1077', '0x107D', '0x1096', '0x10A2', '0x1104', '0x110C']","['0x102D', '0x1039', '0x1061', '0x10A6', '0x1110']","`oYAttempting to get distance between actors, where at least one is INVALID! Returning 0.0!",string,91,SAME_SIZE_SAFE,0.95,decoded printable bytes can be replaced only with equal encoded length,,bounded operand or owned string/table bytes
